Competition,Team,Played,Points,PointsPerMatch
NLM-CZ,GHF Rift Pirates Men,1,3,3.0
NLM-CZ,Thika Rovers,1,3,3.0
NLM-CZ,Dukes of Gloucester,3,3,1.0
NLM-CZ,Nyari Hockey Club,1,0,0.0
NLM-EZ,Ulinzi Patriots,8,17,2.12
NLM-EZ,UoN Cubs,5,9,1.8
NLM-EZ,Gorillas,8,14,1.75
NLM-EZ,Mombasa West,5,8,1.6
NLM-EZ,Parklands Sports Club – Legacy,8,12,1.5
NLM-EZ,TUK Men,2,3,1.5
NLM-EZ,Black Tigers,9,13,1.44
NLM-EZ,Mombasa Sports Club,5,7,1.4
NLM-EZ,Daystar University Men,6,3,0.5
NLM-EZ,Snippers Hockey Club (Makueni),6,0,0.0
NLM-SZ,Kisii Falcons,3,9,3.0
NLM-SZ,Bay Club,3,6,2.0
NLM-SZ,Gorillas Hockey CLub – Migori,3,3,1.0
NLM-SZ,Oyugis Hockey Club,3,0,0.0
NLM-WZ,Kitale Hockey Club,5,15,3.0
NLM-WZ,Lakers Hockey Club Men,4,7,1.75
NLM-WZ,Fire Flickers,4,4,1.0
NLM-WZ,Nandi Hawks,4,4,1.0
NLM-WZ,GHF Blue Pirates II,4,1,0.25
NLM-WZ,Western Jaguars Dev,1,0,0.0
PLM,Western Jaguars,11,23,2.09
PLM,Warriors,10,19,1.9
PLM,Sikh Union Nairobi,10,18,1.8
PLM,Parklands Sports Club,10,16,1.6
PLM,Wazalendo,11,17,1.55
PLM,Daikyo Heroes,11,16,1.45
PLM,Kisumu Youngsters,11,14,1.27
PLM,Kenya Police,10,12,1.2
PLM,USIU – A,9,10,1.11
PLM,Greensharks,11,0,0.0
PLW,Blazers Hockey Club,7,17,2.43
PLW,Lakers Hockey Club,6,11,1.83
PLW,USIU – A Ladies,8,13,1.62
PLW,Amira Sailors Hockey Club,7,9,1.29
PLW,Strathmore University Ladies,8,10,1.25
PLW,Kisumu Queens,6,7,1.17
PLW,UON Ladies,6,5,0.83
PLW,Sliders Hockey Club,9,5,0.56
PLW,Kenyatta University Ladies,2,1,0.5
PLW,JKUAT Ladies,1,0,0.0
SLM,Strathmore University,6,14,2.33
SLM,KCA University,8,18,2.25
SLM,Mvita XI,5,11,2.2
SLM,GHF Blue Pirates,4,7,1.75
SLM,Parkroad Tigers,6,9,1.5
SLM,Impala,8,11,1.38
SLM,UON Men,6,7,1.17
SLM,Parkroad Badgers,7,6,0.86
SLM,Wazalendo Masters,9,5,0.56
SLM,Nakuru Hockey Club,7,3,0.43
SLW,Twinkle Hockey Club,5,13,2.6
SLW,Wazalendo Pearls,6,13,2.17
SLW,Lakers Hockey Club – B,6,11,1.83
SLW,GHF Rift Pirates Ladies,6,9,1.5
SLW,Swans Hockey Club,4,5,1.25
SLW,Daystar University Ladies,5,3,0.6
SLW,Mombasa Sports Club Ladies,4,2,0.5
SLW,Gorillas Hockey Club – Ladies,3,0,0.0
SLW,Black Tigresses,1,0,0.0
