Competition,Player,Team,Goals
PLM,Mathias Gularire,Sikh Union Nairobi,6
PLM,Calvins Kanu Omondi,Warriors,4
PLM,Job Wandera,Wazalendo,4
PLM,Malack Masese,Kisumu Youngsters,4
PLM,Robert Masibo,Kenya Police,4
PLM,Cliff Omari,Sikh Union Nairobi,3
PLM,Eudgas Lirhu,Parklands Sports Club,3
PLM,Michael Mboya,Wazalendo,3
PLM,Sheldone Kimtai,Western Jaguars,3
PLM,Alex Taiswa,Western Jaguars,2
PLM,Bethuel Masambu,Western Jaguars,2
PLM,Bonny Ndombi,Daikyo Heroes,2
PLM,Danstone Wabwire,USIU – A,2
PLM,Edson Ndombi,Warriors,2
PLM,Emmanuel Wiswa,Western Jaguars,2
PLM,Esbon Ombui,Daikyo Heroes,2
PLM,Farhan Khan,Daikyo Heroes,2
PLM,Festus Onyango,Warriors,2
PLM,Godfrey Fedha,Western Jaguars,2
PLM,Kabir Bhamra,Sikh Union Nairobi,2
PLM,Kennedy Sibweche,Kenya Police,2
PLM,Kennedy Wanyonyi,Parklands Sports Club,2
PLM,Khizar Akhtar,Daikyo Heroes,2
PLM,Lawrence Makhatsa,USIU – A,2
PLM,Mathew Momanyi,Wazalendo,2
PLM,William Kirwa,Parklands Sports Club,2
PLM,Willis Okeyo,Kenya Police,2
PLM,Asher Ochieng,Kisumu Youngsters,1
PLM,Austin Mutua,Wazalendo,1
PLM,Austin Otieno,Daikyo Heroes,1
PLM,Borris Lukurito,USIU – A,1
PLM,Brian Ogeche,USIU – A,1
PLM,Brian Saina,Kenya Police,1
PLM,Charles Otieno,Western Jaguars,1
PLM,Daniel Lopikasha,Kisumu Youngsters,1
PLM,Daniel Solomon Obunyasi,Greensharks,1
PLM,Derrick Juma,Western Jaguars,1
PLM,Duncan Kachisa,Kisumu Youngsters,1
PLM,Erick Kidwaro,Parklands Sports Club,1
PLM,Fofana Mohammed,Sikh Union Nairobi,1
PLM,Francis Kariuki,Warriors,1
PLM,Frankline Wakhongo,Warriors,1
PLM,George Mutira,Warriors,1
PLM,Havrir Chataurhae Singh,Sikh Union Nairobi,1
PLM,Isaac Nandukele,Wazalendo,1
PLM,Ivan Ludiali,Western Jaguars,1
PLM,James Muthii Mwangi,Sikh Union Nairobi,1
PLM,Joe Oburu,Kenya Police,1
PLM,Joseph Kasua,Daikyo Heroes,1
PLM,Ketane Okoth,Kisumu Youngsters,1
PLM,Kit Garner,Sikh Union Nairobi,1
PLM,Lawrence Okongo,Daikyo Heroes,1
PLM,Moses Isigi Ooga,Kisumu Youngsters,1
PLM,Moses Omamu,Parklands Sports Club,1
PLM,Newton Mwangaza,USIU – A,1
PLM,Paul Omariba,Warriors,1
PLM,Robinson Omutekete,USIU – A,1
PLM,Valentine Keya,Parklands Sports Club,1
PLM,Vincent Odindo,Kenya Police,1
PLM,Wayne Kipkorir Chongwony,USIU – A,1
PLW,Audrey Omaido,Blazers Hockey Club,2
PLW,Carol Guchu,Blazers Hockey Club,2
PLW,Grace Bwire,Strathmore University Ladies,2
PLW,Joan Anjao,Blazers Hockey Club,2
PLW,Lynn Mwangi,USIU – A Ladies,2
PLW,Amanda Ijai,Blazers Hockey Club,1
PLW,Clementine Sims,UON Ladies,1
PLW,Grace Makoha,USIU – A Ladies,1
PLW,Jochebed Cherono,Kenyatta University Ladies,1
PLW,Margaret Mawombe,Sliders Hockey Club,1
PLW,Maurine Owiti,Lakers Hockey Club,1
PLW,Mitchelle Akoth,UON Ladies,1
PLW,Nichole Joy,Strathmore University Ladies,1
PLW,Noela Kimathi,UON Ladies,1
PLW,Vivian Onyango,Blazers Hockey Club,1
PLW,Yvette Kanyadong,Amira Sailors Hockey Club,1
