Competition,Date,HomeTeam,HomeGoals,AwayGoals,AwayTeam,TotalGoals
NLM-SZ,07-06-2026,Oyugis Hockey Club,0,10,Kisii Falcons,10
NLM-CZ,21-06-2026,GHF Rift Pirates Men,9,1,Dukes of Gloucester,10
PLM,31-05-2026,Sikh Union Nairobi,6,3,Daikyo Heroes,9
SLM,21-06-2026,Mvita XI,4,4,Impala,8
NLM-CZ,07-06-2026,Thika Rovers,8,0,Dukes of Gloucester,8
NLM-SZ,21-06-2026,Gorillas Hockey CLub – Migori,0,8,Bay Club,8
SLM,20-06-2026,Parkroad Tigers,1,7,KCA University,8
NLM-WZ,12-07-2026,Kitale Hockey Club,7,0,Nandi Hawks,7
SLM,04-07-2026,Strathmore University,3,3,Impala,6
SLM,07-06-2026,Parkroad Badgers,2,4,KCA University,6
